scene,operator,exposure_sensitivity_index
C:\hdr_perceptual\data\hdr_exr\507.exr,reinhard,0.24146217107772827
C:\hdr_perceptual\data\hdr_exr\507.exr,drago,0.49786627292633057
C:\hdr_perceptual\data\hdr_exr\507.exr,filmic,0.5408217906951904
C:\hdr_perceptual\data\hdr_exr\507.exr,gamma,1.7800018787384033
C:\hdr_perceptual\data\hdr_exr\507.exr,reinhard_local,0.2121029645204544
C:\hdr_perceptual\data\hdr_exr\Ahwahnee Great Lounge.exr,reinhard,1.065731406211853
C:\hdr_perceptual\data\hdr_exr\Ahwahnee Great Lounge.exr,drago,0.9903020858764648
C:\hdr_perceptual\data\hdr_exr\Ahwahnee Great Lounge.exr,filmic,1.3066884279251099
C:\hdr_perceptual\data\hdr_exr\Ahwahnee Great Lounge.exr,gamma,0.5041648745536804
C:\hdr_perceptual\data\hdr_exr\Ahwahnee Great Lounge.exr,reinhard_local,1.0671135187149048
C:\hdr_perceptual\data\hdr_exr\Air Bellows Gap.exr,reinhard,0.4617203176021576
C:\hdr_perceptual\data\hdr_exr\Air Bellows Gap.exr,drago,0.48218148946762085
C:\hdr_perceptual\data\hdr_exr\Air Bellows Gap.exr,filmic,0.3675687313079834
C:\hdr_perceptual\data\hdr_exr\Air Bellows Gap.exr,gamma,0.5854105353355408
C:\hdr_perceptual\data\hdr_exr\Air Bellows Gap.exr,reinhard_local,0.4946901798248291
C:\hdr_perceptual\data\hdr_exr\Amikeus Beaver Dam (PM1).exr,reinhard,0.7135740518569946
C:\hdr_perceptual\data\hdr_exr\Amikeus Beaver Dam (PM1).exr,drago,0.769989550113678
C:\hdr_perceptual\data\hdr_exr\Amikeus Beaver Dam (PM1).exr,filmic,1.1045079231262207
C:\hdr_perceptual\data\hdr_exr\Amikeus Beaver Dam (PM1).exr,gamma,0.774059534072876
C:\hdr_perceptual\data\hdr_exr\Amikeus Beaver Dam (PM1).exr,reinhard_local,0.7358784079551697
C:\hdr_perceptual\data\hdr_exr\Amikeus Beaver Dam (PM2).exr,reinhard,0.9012711644172668
C:\hdr_perceptual\data\hdr_exr\Amikeus Beaver Dam (PM2).exr,drago,0.7854438424110413
C:\hdr_perceptual\data\hdr_exr\Amikeus Beaver Dam (PM2).exr,filmic,1.2095028162002563
C:\hdr_perceptual\data\hdr_exr\Amikeus Beaver Dam (PM2).exr,gamma,0.3951817452907562
C:\hdr_perceptual\data\hdr_exr\Amikeus Beaver Dam (PM2).exr,reinhard_local,0.901547908782959
C:\hdr_perceptual\data\hdr_exr\Artist Palette.exr,reinhard,0.5959336757659912
C:\hdr_perceptual\data\hdr_exr\Artist Palette.exr,drago,0.28175053000450134
C:\hdr_perceptual\data\hdr_exr\Artist Palette.exr,filmic,0.5292449593544006
C:\hdr_perceptual\data\hdr_exr\Artist Palette.exr,gamma,0.8656819462776184
C:\hdr_perceptual\data\hdr_exr\Artist Palette.exr,reinhard_local,0.24055981636047363
C:\hdr_perceptual\data\hdr_exr\Balanced Rock.exr,reinhard,0.1740180253982544
C:\hdr_perceptual\data\hdr_exr\Balanced Rock.exr,drago,0.19239550828933716
C:\hdr_perceptual\data\hdr_exr\Balanced Rock.exr,filmic,0.4115428328514099
C:\hdr_perceptual\data\hdr_exr\Balanced Rock.exr,gamma,1.6653106212615967
C:\hdr_perceptual\data\hdr_exr\Balanced Rock.exr,reinhard_local,0.09389063715934753
C:\hdr_perceptual\data\hdr_exr\Bandon Sunset (1).exr,reinhard,0.10739682614803314
C:\hdr_perceptual\data\hdr_exr\Bandon Sunset (1).exr,drago,0.4180433750152588
C:\hdr_perceptual\data\hdr_exr\Bandon Sunset (1).exr,filmic,0.3512217700481415
C:\hdr_perceptual\data\hdr_exr\Bandon Sunset (1).exr,gamma,1.298397421836853
C:\hdr_perceptual\data\hdr_exr\Bandon Sunset (1).exr,reinhard_local,0.13568904995918274
C:\hdr_perceptual\data\hdr_exr\Bandon Sunset (2).exr,reinhard,0.24812449514865875
C:\hdr_perceptual\data\hdr_exr\Bandon Sunset (2).exr,drago,0.5149296522140503
C:\hdr_perceptual\data\hdr_exr\Bandon Sunset (2).exr,filmic,0.585502564907074
C:\hdr_perceptual\data\hdr_exr\Bandon Sunset (2).exr,gamma,0.8871549367904663
C:\hdr_perceptual\data\hdr_exr\Bandon Sunset (2).exr,reinhard_local,0.2828885316848755
C:\hdr_perceptual\data\hdr_exr\Bar Harbor Presunrise.exr,reinhard,0.281298965215683
C:\hdr_perceptual\data\hdr_exr\Bar Harbor Presunrise.exr,drago,0.5465015172958374
C:\hdr_perceptual\data\hdr_exr\Bar Harbor Presunrise.exr,filmic,0.681422233581543
C:\hdr_perceptual\data\hdr_exr\Bar Harbor Presunrise.exr,gamma,0.8256152868270874
C:\hdr_perceptual\data\hdr_exr\Bar Harbor Presunrise.exr,reinhard_local,0.33316129446029663
C:\hdr_perceptual\data\hdr_exr\Bar Harbor Sunrise.exr,reinhard,0.18662385642528534
C:\hdr_perceptual\data\hdr_exr\Bar Harbor Sunrise.exr,drago,0.24419598281383514
C:\hdr_perceptual\data\hdr_exr\Bar Harbor Sunrise.exr,filmic,0.3518638014793396
C:\hdr_perceptual\data\hdr_exr\Bar Harbor Sunrise.exr,gamma,1.4935489892959595
C:\hdr_perceptual\data\hdr_exr\Bar Harbor Sunrise.exr,reinhard_local,0.147917702794075
C:\hdr_perceptual\data\hdr_exr\Ben&Jerry's.exr,reinhard,0.6380349397659302
C:\hdr_perceptual\data\hdr_exr\Ben&Jerry's.exr,drago,0.07622867077589035
C:\hdr_perceptual\data\hdr_exr\Ben&Jerry's.exr,filmic,0.6119983196258545
C:\hdr_perceptual\data\hdr_exr\Ben&Jerry's.exr,gamma,1.0753509998321533
C:\hdr_perceptual\data\hdr_exr\Ben&Jerry's.exr,reinhard_local,0.430569052696228
C:\hdr_perceptual\data\hdr_exr\Bigfoot Pass.exr,reinhard,0.4068979322910309
C:\hdr_perceptual\data\hdr_exr\Bigfoot Pass.exr,drago,0.1717252880334854
C:\hdr_perceptual\data\hdr_exr\Bigfoot Pass.exr,filmic,0.8351526856422424
C:\hdr_perceptual\data\hdr_exr\Bigfoot Pass.exr,gamma,0.35141295194625854
C:\hdr_perceptual\data\hdr_exr\Bigfoot Pass.exr,reinhard_local,0.20637722313404083
C:\hdr_perceptual\data\hdr_exr\Blooming Gorse (1).exr,reinhard,0.3522475063800812
C:\hdr_perceptual\data\hdr_exr\Blooming Gorse (1).exr,drago,0.0848236083984375
C:\hdr_perceptual\data\hdr_exr\Blooming Gorse (1).exr,filmic,0.496014803647995
C:\hdr_perceptual\data\hdr_exr\Blooming Gorse (1).exr,gamma,1.2997043132781982
C:\hdr_perceptual\data\hdr_exr\Blooming Gorse (1).exr,reinhard_local,0.2941513657569885
C:\hdr_perceptual\data\hdr_exr\Blooming Gorse (2).exr,reinhard,0.37454164028167725
C:\hdr_perceptual\data\hdr_exr\Blooming Gorse (2).exr,drago,0.16949903964996338
C:\hdr_perceptual\data\hdr_exr\Blooming Gorse (2).exr,filmic,0.22618550062179565
C:\hdr_perceptual\data\hdr_exr\Blooming Gorse (2).exr,gamma,1.7433871030807495
C:\hdr_perceptual\data\hdr_exr\Blooming Gorse (2).exr,reinhard_local,0.23533232510089874
C:\hdr_perceptual\data\hdr_exr\Cades Cove.exr,reinhard,0.6624155640602112
C:\hdr_perceptual\data\hdr_exr\Cades Cove.exr,drago,0.12781958281993866
C:\hdr_perceptual\data\hdr_exr\Cades Cove.exr,filmic,0.248529851436615
C:\hdr_perceptual\data\hdr_exr\Cades Cove.exr,gamma,1.9320731163024902
C:\hdr_perceptual\data\hdr_exr\Cades Cove.exr,reinhard_local,0.4583350419998169
C:\hdr_perceptual\data\hdr_exr\Canadian Falls.exr,reinhard,0.4373455047607422
C:\hdr_perceptual\data\hdr_exr\Canadian Falls.exr,drago,0.10129953175783157
C:\hdr_perceptual\data\hdr_exr\Canadian Falls.exr,filmic,0.8656794428825378
C:\hdr_perceptual\data\hdr_exr\Canadian Falls.exr,gamma,0.8291535377502441
C:\hdr_perceptual\data\hdr_exr\Canadian Falls.exr,reinhard_local,0.2687253952026367
C:\hdr_perceptual\data\hdr_exr\Cemetery Tree (1).exr,reinhard,0.30142587423324585
C:\hdr_perceptual\data\hdr_exr\Cemetery Tree (1).exr,drago,0.32846301794052124
C:\hdr_perceptual\data\hdr_exr\Cemetery Tree (1).exr,filmic,0.20949634909629822
C:\hdr_perceptual\data\hdr_exr\Cemetery Tree (1).exr,gamma,1.979567289352417
C:\hdr_perceptual\data\hdr_exr\Cemetery Tree (1).exr,reinhard_local,0.18672586977481842
C:\hdr_perceptual\data\hdr_exr\Cemetery Tree (2).exr,reinhard,0.3118685185909271
C:\hdr_perceptual\data\hdr_exr\Cemetery Tree (2).exr,drago,0.2786896228790283
C:\hdr_perceptual\data\hdr_exr\Cemetery Tree (2).exr,filmic,0.25342532992362976
C:\hdr_perceptual\data\hdr_exr\Cemetery Tree (2).exr,gamma,1.6512315273284912
C:\hdr_perceptual\data\hdr_exr\Cemetery Tree (2).exr,reinhard_local,0.2000185251235962
C:\hdr_perceptual\data\hdr_exr\Delicate Arch.exr,reinhard,0.15764577686786652
C:\hdr_perceptual\data\hdr_exr\Delicate Arch.exr,drago,0.2048676460981369
C:\hdr_perceptual\data\hdr_exr\Delicate Arch.exr,filmic,0.7263206839561462
C:\hdr_perceptual\data\hdr_exr\Delicate Arch.exr,gamma,0.9535976052284241
C:\hdr_perceptual\data\hdr_exr\Delicate Arch.exr,reinhard_local,0.10840848088264465
C:\hdr_perceptual\data\hdr_exr\Delicate Flowers.exr,reinhard,0.4668648838996887
C:\hdr_perceptual\data\hdr_exr\Delicate Flowers.exr,drago,0.17642100155353546
C:\hdr_perceptual\data\hdr_exr\Delicate Flowers.exr,filmic,0.5842391848564148
C:\hdr_perceptual\data\hdr_exr\Delicate Flowers.exr,gamma,1.1203447580337524
C:\hdr_perceptual\data\hdr_exr\Delicate Flowers.exr,reinhard_local,0.21427734196186066
C:\hdr_perceptual\data\hdr_exr\Devil's Bathtub.exr,reinhard,0.7027045488357544
C:\hdr_perceptual\data\hdr_exr\Devil's Bathtub.exr,drago,0.1353941410779953
C:\hdr_perceptual\data\hdr_exr\Devil's Bathtub.exr,filmic,0.42887020111083984
C:\hdr_perceptual\data\hdr_exr\Devil's Bathtub.exr,gamma,0.5305572748184204
C:\hdr_perceptual\data\hdr_exr\Devil's Bathtub.exr,reinhard_local,0.2797260582447052
C:\hdr_perceptual\data\hdr_exr\Devil's Golf Course.exr,reinhard,0.32990723848342896
C:\hdr_perceptual\data\hdr_exr\Devil's Golf Course.exr,drago,0.18580928444862366
C:\hdr_perceptual\data\hdr_exr\Devil's Golf Course.exr,filmic,0.6548972725868225
C:\hdr_perceptual\data\hdr_exr\Devil's Golf Course.exr,gamma,0.6985775232315063
C:\hdr_perceptual\data\hdr_exr\Devil's Golf Course.exr,reinhard_local,0.1455320119857788
C:\hdr_perceptual\data\hdr_exr\Devil's Tower.exr,reinhard,0.1891942024230957
C:\hdr_perceptual\data\hdr_exr\Devil's Tower.exr,drago,0.36090973019599915
C:\hdr_perceptual\data\hdr_exr\Devil's Tower.exr,filmic,0.2699972987174988
C:\hdr_perceptual\data\hdr_exr\Devil's Tower.exr,gamma,1.9289066791534424
C:\hdr_perceptual\data\hdr_exr\Devil's Tower.exr,reinhard_local,0.09008900821208954
C:\hdr_perceptual\data\hdr_exr\El Capitan.exr,reinhard,0.5028538107872009
C:\hdr_perceptual\data\hdr_exr\El Capitan.exr,drago,0.133441761136055
C:\hdr_perceptual\data\hdr_exr\El Capitan.exr,filmic,0.26716330647468567
C:\hdr_perceptual\data\hdr_exr\El Capitan.exr,gamma,2.2514898777008057
C:\hdr_perceptual\data\hdr_exr\El Capitan.exr,reinhard_local,0.2812880873680115
C:\hdr_perceptual\data\hdr_exr\Exploratorium (1).exr,reinhard,0.4735073149204254
C:\hdr_perceptual\data\hdr_exr\Exploratorium (1).exr,drago,0.0656091645359993
C:\hdr_perceptual\data\hdr_exr\Exploratorium (1).exr,filmic,0.2806839346885681
C:\hdr_perceptual\data\hdr_exr\Exploratorium (1).exr,gamma,1.9140435457229614
C:\hdr_perceptual\data\hdr_exr\Exploratorium (1).exr,reinhard_local,0.3578547537326813
C:\hdr_perceptual\data\hdr_exr\Exploratorium (2).exr,reinhard,0.22299912571907043
C:\hdr_perceptual\data\hdr_exr\Exploratorium (2).exr,drago,0.26637783646583557
C:\hdr_perceptual\data\hdr_exr\Exploratorium (2).exr,filmic,0.3376905024051666
C:\hdr_perceptual\data\hdr_exr\Exploratorium (2).exr,gamma,1.7666786909103394
C:\hdr_perceptual\data\hdr_exr\Exploratorium (2).exr,reinhard_local,0.1576709747314453
